   n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, radix_cmp, radix_swaps, radix_time
 436,         46533,           46103,          45240,         94830,             427,          30404,      5741,        1360,       2945,      3271,           0,       1720,       436,           0,       1021
 437,         46714,           46283,          45369,         95266,             428,          30129,      5813,        1368,       2916,      3281,           0,       1615,       437,           0,       1035
 438,         46827,           46395,          45469,         95703,             432,          30421,      5638,        1391,       2841,      3295,           0,       1659,       438,           0,       1075
 439,         46950,           46517,          47981,         96141,             432,          30835,      5798,        1346,       2895,      3293,           0,       1709,       439,           0,       1007
 440,         46984,           46550,          47153,         96580,             431,          31083,      6176,        1369,       3156,      3306,           0,       1667,       440,           0,       1032
 441,         47226,           46791,          47357,         97020,             434,          43928,      5990,        1376,       3526,      3316,           0,       1835,       441,           0,       1154
 442,         47280,           46844,          47641,         97461,             435,          31716,      5858,        1360,       2976,      3307,           0,       1631,       442,           0,       1156
 443,         47294,           46857,          46576,         97903,             436,          31326,      5700,        1364,       2923,      3310,           0,       1673,       443,           0,       1048
 444,         47481,           47043,          46819,         98346,             438,          31564,      5929,        1387,       3050,      3332,           0,       1681,       444,           0,       1129
 445,         47907,           47468,          48949,         98790,             438,          32213,      5963,        1415,       3213,      3331,           0,       1908,       445,           0,       1132
 446,         48298,           47858,          48145,         99235,             437,          32672,      5918,        1393,       3130,      3352,           0,       1816,       446,           0,       1079
 447,         48726,           48285,          48856,         99681,             440,          34051,      5999,        1404,       3091,      3368,           0,       1695,       447,           0,       1189
 448,         49080,           48638,          47417,        100128,             444,          31509,      6157,        1431,       3187,      3393,           0,       1786,       448,           0,       1227
 449,         49407,           48964,          47403,        100576,             445,          31548,      6184,        1376,       3377,      3400,           0,       1673,       449,           0,       1030
 450,         49779,           49335,          48560,        101025,             440,          34401,      5995,        1389,       3183,      3402,           0,       1768,       450,           0,       1085
 451,         50229,           49784,          49323,        101475,             441,          33281,      6348,        1424,       3217,      3402,           0,       1715,       451,           0,       1228
 452,         50238,           49792,          48670,        101926,             441,          32388,      5784,        1415,       3116,      3426,           0,       1724,       452,           0,       1065
 453,         50362,           49915,          50828,        102378,             448,          33306,      5803,        1420,       3098,      3427,           0,       1773,       453,           0,       1088
 454,         50539,           50091,          48111,        102831,             445,          32294,      5901,        1428,       3021,      3426,           0,       1679,       454,           0,       1457
 455,         50705,           50256,          48876,        103285,             448,          35374,      6129,        1436,       3205,      3445,           0,       1777,       455,           0,       1075
 456,         51056,           50606,          52971,        103740,             446,          32986,      6033,        1421,       3033,      3462,           0,       1872,       456,           0,       1123
 457,         51376,           50925,          57266,        104196,             446,          34350,      5923,        1426,       3186,      3465,           0,       1845,       457,           0,       1173
 458,         51488,           51036,          51903,        104653,             451,          36113,      5806,        1499,       3207,      3471,           0,       1832,       458,           0,       1143
 459,         51930,           51477,          51838,        105111,             453,          34731,      6311,        1449,       3405,      3476,           0,       1797,       459,           0,       1107
 460,         52211,           51757,          50675,        105570,             453,          33706,      6110,        1450,       3188,      3507,           0,       1797,       460,           0,       1340
 461,         52312,           51857,          52078,        106030,             455,          34669,      5943,        1459,       3069,      3513,           0,       1763,       461,           0,       1089
 462,         52337,           51881,          51966,        106491,             457,          34930,      5959,        1477,       3221,      3506,           0,       1767,       462,           0,       1088
 463,         52799,           52343,          53376,        106953,             460,          35432,      6714,        1442,       3496,      3521,           0,       1834,       463,           0,       1165
 464,         53153,           52696,          54527,        107416,             461,          34896,      6316,        1437,       3255,      3528,           0,       1758,       464,           0,       1070
 465,         53192,           52734,          51032,        107880,             461,          36817,      6102,        1464,       3228,      3535,           0,       1824,       465,           0,       1122
 466,         53218,           52759,          52599,        108345,             460,          37380,      6109,        1468,       3444,      3537,           0,       1912,       466,           0,       1150
 467,         53227,           52767,          53582,        108811,             462,          38220,      6077,        1504,       3587,      3549,           0,       1878,       467,           0,       1167
 468,         53438,           52977,          53760,        109278,             463,          36288,      6083,        1493,       3370,      3559,           0,       1839,       468,           0,       1121
 469,         53485,           53023,          51827,        109746,             461,          35261,      6228,        1463,       3151,      3562,           0,       1747,       469,           0,       1092
 470,         53747,           53284,          51949,        110215,             465,          34504,      6123,        1467,       3077,      3584,           0,       1860,       470,           0,       1072
 471,         54169,           53705,          52306,        110685,             462,          36113,      6460,        1470,       4906,      3585,           0,       1944,       471,           0,       1258
 472,         54200,           53735,          56532,        111156,             464,          37054,      6557,        1453,       3323,      3613,           0,       1815,       472,           0,       1159
 473,         54556,           54090,          53834,        111628,             461,          35760,      6139,        1484,       3310,      3618,           0,       1772,       473,           0,       1090
