  n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, radix_cmp, radix_swaps, radix_time
 78,          1746,            1673,           1786,          3003,              73,            914,       715,         201,        382,       388,           0,        220,        78,           0,        136
 79,          1814,            1740,           1763,          3081,              74,           1106,       706,         202,        377,       403,           0,        295,        79,           0,        165
 80,          1819,            1744,           2401,          3160,              74,           1410,       726,         202,        475,       401,           0,        226,        80,           0,        144
 81,          1859,            1783,           2008,          3240,              79,           1016,       741,         198,        398,       407,           0,        233,        81,           0,        135
 82,          1882,            1805,           1803,          3321,              79,           1030,       746,         212,        405,       416,           0,        236,        82,           0,        135
 83,          1933,            1855,           1859,          3403,              79,           1072,       762,         215,        502,       426,           0,        259,        83,           0,        192
 84,          1938,            1859,           1893,          3486,              79,           1084,       749,         223,        415,       432,           0,        246,        84,           0,        144
 85,          1983,            1903,           1929,          3570,              79,           1109,       812,         214,        431,       441,           0,        248,        85,           0,        140
 86,          2010,            1929,           1940,          3655,              81,           1120,       777,         227,        425,       445,           0,        250,        86,           0,        144
 87,          2055,            1973,           2002,          3741,              83,           1188,       786,         223,        429,       451,           0,        253,        87,           0,        143
 88,          2094,            2011,           2186,          3828,              85,           1209,       811,         227,        441,       452,           0,        259,        88,           0,        154
 89,          2130,            2046,           2049,          3916,              84,           1207,       839,         238,        455,       459,           0,        259,        89,           0,        146
 90,          2185,            2100,           2093,          4005,              87,           1220,       863,         234,        460,       457,           0,        259,        90,           0,        146
 91,          2198,            2112,           2115,          4095,              85,           1569,       867,         247,        610,       470,           0,        262,        91,           0,        166
 92,          2212,            2125,           2422,          4186,              88,           1253,       886,         254,        472,       490,           0,        269,        92,           0,        169
 93,          2255,            2167,           2170,          4278,              88,           1397,       892,         260,        549,       496,           0,        286,        93,           0,        195
 94,          2295,            2206,           2402,          4371,              89,           1370,       899,         256,        748,       507,           0,        288,        94,           0,        185
 95,          2303,            2213,           2470,          4465,              92,           1412,       881,         253,        553,       507,           0,        287,        95,           0,        175
 96,          2379,            2288,           2318,          4560,              93,           1799,       911,         264,        595,       514,           0,        341,        96,           0,        182
 97,          2421,            2329,           2418,          4656,              92,           1482,       893,         259,        502,       520,           0,        295,        97,           0,        177
 98,          2517,            2424,           2653,          4753,              90,           1511,       951,         264,        567,       533,           0,        393,        98,           0,        185
 99,          2602,            2508,           2644,          4851,              94,           1591,       932,         259,        552,       533,           0,        316,        99,           0,        181
100,          2664,            2569,           2606,          4950,              97,           1579,       942,         268,        523,       549,           0,        306,       100,           0,        191
