   n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, radix_cmp, radix_swaps, radix_time
 967,          1418,             453,            893,              ,                ,               ,     10433,        1386,       4892,      4955,           0,       3080,       967,           0,       3686
 968,          1420,             454,            923,              ,                ,               ,     10502,        1394,       4968,      4964,           0,       3084,       968,           0,       3465
 969,          1422,             455,            921,              ,                ,               ,     10461,        1389,       4923,      4967,           0,       3098,       969,           0,       3394
 970,          1424,             456,            898,              ,                ,               ,     10534,        1399,       4931,      4962,           0,       3083,       970,           0,       3273
 971,          1425,             456,            896,              ,                ,               ,     10505,        1396,       5275,      4977,           0,       3163,       971,           0,       3425
 972,          1426,             456,            929,              ,                ,               ,     10420,        1388,       4794,      4980,           0,       3175,       972,           0,       3288
 973,          1428,             457,            899,              ,                ,               ,     10403,        1392,       4822,      4985,           0,       3133,       973,           0,       3731
 974,          1429,             457,            909,              ,                ,               ,     10409,        1397,       4983,      4989,           0,       3371,       974,           0,       3458
 975,          1431,             458,            927,              ,                ,               ,     10324,        1388,       4829,      5009,           0,       3171,       975,           0,       3393
 976,          1432,             458,            928,              ,                ,               ,     10393,        1382,       5316,      4993,           0,       3192,       976,           0,       3404
 977,          1433,             458,            925,              ,                ,               ,     10502,        1397,       4956,      4995,           0,       3078,       977,           0,       3360
 978,          1434,             458,            906,              ,                ,               ,     10485,        1400,       4911,      5007,           0,       3432,       978,           0,       3403
 979,          1436,             459,            942,              ,                ,               ,     10413,        1404,       5034,      5012,           0,       3177,       979,           0,       3485
 980,          1437,             459,            944,              ,                ,               ,     10653,        1398,       4943,      5047,           0,       3338,       980,           0,       3335
 981,          1441,             462,            911,              ,                ,               ,     10693,        1412,       5014,      5046,           0,       3132,       981,           0,       3502
 982,          1442,             462,            914,              ,                ,               ,     10708,        1414,       4971,      5055,           0,       3058,       982,           0,       3380
 983,          1443,             462,           1005,              ,                ,               ,     10404,        1392,       4790,      5068,           0,       3225,       983,           0,       3403
 984,          1444,             462,            936,              ,                ,               ,     10484,        1399,       4950,      5063,           0,       3060,       984,           0,       3365
 985,          1446,             463,            907,              ,                ,               ,     10432,        1409,       4903,      5067,           0,       3481,       985,           0,       3381
 986,          1447,             463,            939,              ,                ,               ,     10436,        1407,       4839,      5081,           0,       3206,       986,           0,       3327
 987,          1448,             463,            909,              ,                ,               ,     10495,        1430,       5838,      5079,           0,       3727,       987,           0,       3599
 988,          1449,             463,            964,              ,                ,               ,     10519,        1430,       5664,      5086,           0,       3353,       988,           0,       3634
 989,          1450,             463,            966,              ,                ,               ,     10489,        1423,       5060,      5092,           0,       3477,       989,           0,       3601
 990,          1451,             463,           1028,              ,                ,               ,     10583,        1427,       5115,      5106,           0,       3258,       990,           0,       3543
 991,          1452,             463,            994,              ,                ,               ,     10885,        1422,       5334,      5102,           0,       3261,       991,           0,       3524
 992,          1453,             463,            973,              ,                ,               ,     10937,        1428,       5359,      5121,           0,       3194,       992,           0,       3558
 993,          1455,             464,            950,              ,                ,               ,     10858,        1434,       5161,      5122,           0,       3212,       993,           0,       3468
 994,          1456,             464,            992,              ,                ,               ,     11074,        1432,       5202,      5136,           0,       3417,       994,           0,       3361
 995,          1457,             464,            922,              ,                ,               ,     10472,        1399,       5091,      5145,           0,       3258,       995,           0,       3427
 996,          1458,             464,           1021,              ,                ,               ,     10556,        1417,       4838,      5157,           0,       3275,       996,           0,       3664
